vendor,free_plan,entry_paid_rate_usd,entry_tier_name,top_published_tier,billing_unit,on_premise_option,hosting,player_platforms,source_url,notes,verified,dataset_version
DigitalSignage.com,,,,,,,Cloud or self-hosted,,,,,
Yodeck,,,,,,,Cloud,,,,,
OptiSigns,,,,,,,Cloud,,,,,
ScreenCloud,,,,,,,Cloud,,,,,
NoviSign,,,,,,,Cloud,,,,,
Rise Vision,,,,,,,Cloud,,,,,
PiSignage,,,,,,,Cloud (Raspberry Pi players only),,,,,
ChannelOS,,,,,,,Cloud,,,,,
PosterBooking,,,,,,,Cloud,,,,,
Xibo (open source),,,,,,,Your own server,,,,,
Anthias (Screenly OSE),,,,,,,Each Pi managed on its own,,,,,
