Vendor,Windows,macOS,Linux,Android,Android TV / Google TV,Fire TV,Chrome OS,Raspberry Pi,LG webOS,Samsung Tizen,Apple TV,iPad / iOS,Web browser,BrightSign,Roku,Sources
DigitalSignage.com,app,app,app,app,app,no,app,app,no,no,no,app,browser,no,no,https://digitalsignage.com/_html/get_started.html https://digitalsignage.com/_html/signageplayer.html https://digitalsignage.com/_html/digital_signage_raspberry_pi.html https://digitalsignage.com/digital_signage/docs/hardware/media-players/
Yodeck,app,browser,browser,app,app,app,app,app,app,app,no,no,browser,app,no,https://www.yodeck.com/digital-signage-players/ https://www.yodeck.com/docs/user-manual/choose-the-type-of-player-you-like-to-create/ https://www.yodeck.com/docs/ https://www.yodeck.com/docs/creating-a-yodeck-player/setting-up-a-yodeck-chromeos-player/ https://www.yodeck.com/docs/user-manual/tested-and-approved-android-devices/
OptiSigns,app,app,app,app,app,app,app,app,app,app,app,app,browser,app,app,https://www.optisigns.com/download https://support.optisigns.com/hc/en-us/articles/360021855653-What-hardware-and-devices-are-supported https://support.optisigns.com/hc/en-us/articles/6636047009427-How-to-install-OptiSigns-Player-on-Apple-TV https://support.optisigns.com/hc/en-us/articles/360039566974-How-to-install-OptiSigns-as-channel-app-on-Roku https://support.optisigns.com/hc/en-us/articles/360016252394-Web-browser-as-OptiSigns-player
ScreenCloud,app,app,browser,app,app,app,app,no,app,app,no,app,browser,app,no,https://screencloud.com/download https://help.screencloud.com/en/articles/10115438-which-devices-and-operating-systems-can-i-use-with-screencloud-and-what-are-the-minimum-requirements https://help.screencloud.com/en/articles/10115414-devices-and-operating-systems-that-are-not-supported-by-or-recommended-with-screencloud https://help.screencloud.com/en/articles/10104737-android-hardware https://help.screencloud.com/s/article/ScreenCloud-Web-Player
Rise Vision,app,browser,app,app,app,no,app,app,app,no,app,no,browser,app,no,https://www.risevision.com/digital-signage-hardware https://www.risevision.com/digital-signage-media-player https://help.risevision.com/hc/en-us/articles/4402342244628-How-to-Use-Rise-Player-in-a-Web-Browser https://help.risevision.com/hc/en-us/articles/43278271113492-Install-Rise-Player-on-LG-webOS https://help.risevision.com/hc/en-us/articles/4410858095508-Install-Rise-Player-on-Fire-Stick-Fire-TV https://help.risevision.com/hc/en-us/articles/14876884664596-Install-Rise-Player-on-Apple-TV https://help.risevision.com/hc/en-us/articles/115001872303-Install-Rise-Player-on-Raspberry-Pi-OS
NoviSign,app,browser,browser,app,app,app,app,unknown,app,app,no,no,browser,app,no,https://www.novisign.com/software/digital-signage-player/ https://www.novisign.com/hardware/media-players/ https://www.novisign.com/help-center/player-apps/ https://www.novisign.com/help-center/player-apps/linux/install-manual/ https://www.novisign.com/help-center/player-apps/wplayer/ https://www.novisign.com/training/installing-sony-tv/ https://www.novisign.com/amazon/android/ https://www.novisign.com/help-center/player-apps/signage-stick/
PiSignage,browser,browser,app,app,app,app,browser,app,no,no,no,no,browser,no,no,https://pisignage.com/ https://pisignage.com/hardware https://pisignage.com/downloads
PosterBooking,app,app,app,app,app,app,no,app,app,no,no,no,no,no,no,http://posterbooking.com/ https://posterbooking.com/hardware https://www.posterbooking.com/signage/explore/posterbooking-guide/
Xibo,app,no,app,app,unknown,no,app,no,app,app,no,no,no,no,no,https://xibosignage.com/downloads https://account.xibosignage.com/docs/setup/supported-versions-and-environments https://account.xibosignage.com/docs/setup/can-i-run-a-xibo-player-on-my-raspberry-pi-all-variants https://account.xibosignage.com/docs/setup/xibo-for-android-install https://xibosignage.com/pricing https://xibosignage.com/open-source
Anthias (Screenly OSE),no,no,app,no,no,no,no,app,no,no,no,no,no,no,no,https://github.com/Screenly/Anthias https://anthias.screenly.io/get-started/
ChannelOS,browser,browser,browser,no,app,browser,browser,browser,browser,no,no,no,browser,no,no,https://channelos.tv/ https://channelos.tv/blog/how-to-turn-your-tv-into-digital-signage
ScreenTinker,browser,browser,browser,app,app,app,browser,browser,browser,browser,no,no,browser,browser,no,https://www.screentinker.com/ https://www.screentinker.com/downloads https://www.screentinker.com/scripts/windows-setup.bat https://www.screentinker.com/scripts/raspberry-pi-setup.sh
Screenly,browser,browser,browser,app,app,app,browser,app,browser,app,no,browser,browser,no,no,https://www.screenly.io/ https://www.screenly.io/anywhere/ https://support.screenly.io/hc/en-us/articles/360025164713-How-to-install-Screenly-on-your-Raspberry-Pi https://support.screenly.io/hc/en-us/articles/39683099769747-Using-LG-Smart-TVs-with-Screenly-Anywhere https://support.screenly.io/hc/en-us/articles/42853974911379-Using-Samsung-Commercial-Displays-with-our-Tizen-App
TelemetryTV,app,browser,app,app,app,app,app,app,no,no,no,no,browser,no,no,https://www.telemetrytv.com/digital-signage-hardware/ https://docs.telemetrytv.com/docs/platform-feature-support https://docs.telemetrytv.com/docs/android https://docs.telemetrytv.com/docs/macos https://docs.telemetrytv.com/docs/webos https://docs.telemetrytv.com/docs/brightsign https://docs.telemetrytv.com/docs/ios
